Transaction Date,Transaction Type,Fee Name,Transaction Number,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
09 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-PXSQHUO-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124869657072196,124869657272196,Delivered,PK-DEX,standard,Dropshipping,124869657272196,,
09 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-HUOFNBS-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,34.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124869657072196,124869657272196,Delivered,PK-DEX,standard,Dropshipping,124869657272196,,
09 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-RFTKF3Q-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124869657072196,124869657272196,Delivered,PK-DEX,standard,Dropshipping,124869657272196,,
09 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-N8A8CSH-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-38.42,4.42,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124869657072196,124869657272196,Delivered,PK-DEX,standard,Dropshipping,124869657272196,,
09 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-KDHJJU1-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-0.84,0.10,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124869657072196,124869657272196,Delivered,PK-DEX,standard,Dropshipping,124869657272196,,
09 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-D78NIVF-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124869657072196,124869657272196,Delivered,PK-DEX,standard,Dropshipping,124869657272196,,
09 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-AESSGVB-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125371143542335,125371143742335,Delivered,PK-LCS,standard,Dropshipping,125371143742335,,
09 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-0DTTN8D-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,50.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125371143542335,125371143742335,Delivered,PK-LCS,standard,Dropshipping,125371143742335,,
09 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-0DNL1XI-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,59.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125371143542335,125371143742335,Delivered,PK-LCS,standard,Dropshipping,125371143742335,,
09 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-PU927DB-210209,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-56.50,6.50,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125371143542335,125371143742335,Delivered,PK-LCS,standard,Dropshipping,125371143742335,,
